"posterior","posteriorESS","prior","priorESS","likelihood","likelihoodESS","rootHeight","rootHeight95Lower","rootHeight95Upper","rootHeight50Lower","rootHeight50Upper","rootCalibrated","RealRootTMRCA","rootHeightESS","tmrca(cal1)","tmrca(cal1)95Lower","tmrca(cal)95Higher","tmrca(cal1)50Lower","tmrca(cal)50Higer","tmrca(cal1)Prior","tmrca(cal1)ESS","tmrca(min)","tmrca(min)95Lower","tmrca(min)95Higher","tmrca(min)50Lower","tmrca(min)50Higher","RealTMRCA(min)","tmrca(min)ESS","tmrca(med)","tmrca(med)95Lower","tmrca(med)95Higher","tmrca(med)50Lower","tmrca(med)50Higher","RealTMRCA(med)","tmrca(med)ESS","meanRate","meanRate95Low","meanRate95High","meanRate50Low","meanRate50High","realMeanRate","meanRateESS","CoeffOfVar","CoeffOfVar95High","CoeffOfVar95Low","CoeffOfVarESS","Covar","CovarESS","min.nested","med.nested","clock.mean","clock.mean50Low","clock.mean50High","clock.mean95Low","clock.mean95High","clock.sd","log.clock","distributionIndex"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-56441.3343,3.7527,-1414.3091,14.8771,-55027.0252,3.7442,0.7383,0.7062,0.7662,0.7279,0.742,0,50,5.1131,11.2396481713296,20,NA,NA,NA,NA,NA,0.0622,0.0551,0.0725,0.0621,0.0639,4.78551912091327,21.2253,0.3872,0.3717,0.3972,0.3899,0.3972,23.9626415498024,6.3868,0.7485,0.7273,0.7791,0.7325,0.7488,0.0100000018598811,4.2055,0.6503,0.674,0.6147,13.8521,-0.0393,11.5325,1,0,66.4321,65.5434,66.5768,65.1211,67.9919,0.3841,1,1
-60861.4045,3.7274,-1420.6819,12.1546,-59440.7226,3.725,0.8573,0.8391,0.8891,0.8397,0.8555,0,50,6.6975,11.3941238307573,20,NA,NA,NA,NA,NA,0.0893,0.0788,0.0982,0.0942,0.0988,5.16618538264701,2.5804,0.5501,0.5368,0.5624,0.5469,0.5535,25.1223688735484,6.1284,0.5626,0.5438,0.5803,0.5463,0.5613,0.0100000018598811,2.8086,0.6496,0.6858,0.5883,10.5022,-0.2037,24.8991,1,1,49.1888,47.8073,48.7118,48.1119,50.7468,0.268,1,1
-63031.9184,5.0876,-1420.6502,11.9455,-61611.2682,5.0623,0.9751,0.9402,1.1093,0.9497,0.9703,0,50,14.2442,10.4949090237291,20,NA,NA,NA,NA,NA,0.0939,0.0906,0.0995,0.0937,0.0945,5.16876922583966,16.2606,0.2751,0.2661,0.293,0.2727,0.2789,25.973434338947,9.5411,0.5691,0.5351,0.6074,0.5574,0.5685,0.0100000018598811,18.8803,0.8281,0.8747,0.7927,3.6037,-0.1883,7.2113,1,1,55.8942,55.8071,56.2845,51.9407,57.1968,0.2926,1,1
